Voice Name (Persona),Category,Script Text,FILENAME,Question Only,Answer Only,Stability,Similarity,Style
Morning Firecracker,Name That Blockbuster,"[excited] Let's see who knows their comic book movies! [short pause] What gritty superhero movie gave us the chilling villain quote, [whispering] Why... so... SERIOUS?! [long pause] Second time around, we're lookin' for what movie featured the Joker asking, [menacing] Why... so... SERIOUS?! [long pause] Last call! [short pause] What gritty superhero movie gave us the chilling villain quote, [whispering] Why... so... SERIOUS?! [long pause] The answer we need is The Dark Knight! [short pause] That's The Dark Knight! [thoughtful] Heath Ledger completely improvised the clapping scene in that movie while he was sitting in the jail cell!",The_Dark_Knight_BLOCKBUSTER_FIRECRACKER,What gritty superhero movie gave us the chilling villain quote Why so serious?,The Dark Knight,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[energetic] Next up on the trivia countdown! [short pause] What dystopian sci-fi hit featured a terrified sister screaming, [frantic] I VOLUNTEER! [short pause] I volunteer... as tribute?! [long pause] Second time around, we're lookin' for what movie gave us the line, [crying] I volunteer... as tribute?! [long pause] Final time I'm askin' it! [short pause] What dystopian sci-fi hit featured a terrified sister screaming, [frantic] I VOLUNTEER! [short pause] I volunteer... as tribute?! [long pause] The answer we're lookin' for is The Hunger Games! [short pause] That's The Hunger Games! [surprised] Jennifer Lawrence was just twenty-one years old when she took on the role of Katniss Everdeen!",The_Hunger_Games_BLOCKBUSTER_FIRECRACKER,What dystopian sci-fi hit featured a terrified sister screaming I volunteer as tribute?,The Hunger Games,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[laughing] Here is a loud one for everybody! [short pause] What visually stunning action movie featured a king roaring, [shouting] THIS... IS... SPARTAAAAA?! [long pause] Second time around, we're lookin' for what movie gave us the battle cry, [loudly] THIS... IS... SPARTAAAAA?! [long pause] Last call! [short pause] What visually stunning action movie featured a king roaring, [shouting] THIS... IS... SPARTAAAAA?! [long pause] You should be lookin' for Three Hundred! [short pause] That's Three Hundred! [chuckling] Gerard Butler completely blew his voice out filming that one single line!",Three_Hundred_BLOCKBUSTER_FIRECRACKER,What visually stunning action movie featured a king roaring THIS IS SPARTA?,300,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[playful] Pay attention to this next one! [short pause] What swashbuckling adventure movie featured the smug comeback, [smug] But you HAVE... heard of me?! [long pause] Second time around, we're lookin' for what movie featured Jack Sparrow saying, [arrogant] But you HAVE... heard of me?! [long pause] Final time on this one! [short pause] What swashbuckling adventure movie featured the smug comeback, [smug] But you HAVE... heard of me?! [long pause] Check those cards for Pirates of the Caribbean! [short pause] That's Pirates of the Caribbean! [happy] Johnny Depp based his entire performance on rock legend Keith Richards!",Pirates_Of_The_Caribbean_BLOCKBUSTER_FIRECRACKER,What swashbuckling adventure movie featured the smug comeback But you HAVE heard of me?,Pirates of the Caribbean,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[excited] Alright, let's see who knows their magic spells! [short pause] What magical fantasy movie featured a young witch correcting her friend with, [annoyed] It's levi-O-sa... not levio-SAH?! [long pause] Second time around, we're lookin' for what movie gave us the quote, [snobby] It's levi-O-sa... not levio-SAH?! [long pause] Last call! [short pause] What magical fantasy movie featured a young witch correcting her friend with, [annoyed] It's levi-O-sa... not levio-SAH?! [long pause] The answer we need is Harry Potter! [short pause] That's Harry Potter! [informative] The author of the books demanded an all-British cast before she would sell the movie rights!",Harry_Potter_BLOCKBUSTER_FIRECRACKER,What magical fantasy movie featured a young witch correcting her friend with It's levi-O-sa not levio-SAH?,Harry Potter,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[laughing] Let's switch gears to an absolute comedy classi!! [short pause] What iconic high school movie gave us the line, [sassy] Get in, loser... we're going SHOPPING!! [long pause] Second time around, we're lookin' for what movie featured Regina George saying, [snobby] Get in, loser... we're going SHOPPING!! [long pause] Final time I'm askin' i!! [short pause] What iconic high school movie gave us the line, [sassy] Get in, loser... we're going SHOPPING!! [long pause] You should be lookin' for Mean Girl!! [short pause] That's Mean Girl!! [excited] Tina Fey actually wrote the screenplay for the movie based on a non-fiction parenting boo!!",Mean_Girls_BLOCKBUSTER_FIRECRACKER,What iconic high school movie gave us the line Get in loser we're going shopping?,Mean Girls,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[energetic] Jumping ahead to the late two-thousands for this on!! [short pause] What massive Marvel movie gave us the iconic, arms-crossed salute and the phrase, [proudly] WAKANDA... FOREVER!! [long pause] Second time around, we're lookin' for what superhero movie popularized the battle cry, [loudly] WAKANDA... FOREVER!! [long pause] Last cal!! [short pause] What massive Marvel movie gave us the iconic, arms-crossed salute and the phrase, [proudly] WAKANDA... FOREVER!! [long pause] The answer we're lookin' for is Black Panthe!! [short pause] That's Black Panthe!! [amazed] It became the very first superhero film to ever be nominated for Best Picture at the Oscar!!",Black_Panther_BLOCKBUSTER_FIRECRACKER,What massive Marvel movie gave us the iconic arms-crossed salute and the phrase WAKANDA FOREVER?,Black Panther,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[excited] Keep those Marvel brains firing for this next quot!! [short pause] What massive cinematic crossover featured Iron Man saying, [sadly] I love you... three thousand!! [long pause] Second time around, we're lookin' for what movie gave us the heart-breaking line, [emotional] I love you... three thousand!! [long pause] Final time on this on!! [short pause] What massive cinematic crossover featured Iron Man saying, [sadly] I love you... three thousand!! [long pause] Check your cards for Avengers: Endgam!! [short pause] That's Avengers: Endgam!! [sweetly] That specific line was actually something Robert Downey Junior's real-life kids used to say to hi!!",Avengers_Endgame_BLOCKBUSTER_FIRECRACKER,What massive cinematic crossover featured Iron Man saying I love you three thousand?,Avengers: Endgame,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[laughing] Let's see who went to the theaters for this neon blockbuste!! [short pause] What mega-hit movie featured Ryan Gosling passionately declaring, [dramatic] I... am... KEN-OUGH!! [long pause] Second time around, we're lookin' for what pastel-colored comedy gave us the quote, [emotional] I... am... KEN-OUGH!! [long pause] Last cal!! [short pause] What mega-hit movie featured Ryan Gosling passionately declaring, [dramatic] I... am... KEN-OUGH!! [long pause] You should be lookin' for Barbi!! [short pause] That's Barbi!! [amazed] That single line became so incredibly popular that it instantly spawned millions of real-life hoodie!!",Barbie_BLOCKBUSTER_FIRECRACKER,What mega-hit movie featured Ryan Gosling passionately declaring I am KENOUGH?,Barbie,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[energetic] Alright, strap in for this high-flying quot!! [short pause] What massive action sequel featured the aviation advice, [intense] It's not the plane... it's the PILOT!! [long pause] Second time around, we're lookin' for what movie gave us the line, [serious] It's not the plane... it's the PILOT!! [long pause] Final time I'm askin' i!! [short pause] What massive action sequel featured the aviation advice, [intense] It's not the plane... it's the PILOT!! [long pause] The answer we need is Top Gun: Maveric!! [short pause] That's Top Gun: Maveric!! [impressed] Tom Cruise actually designed the entire training program to get the actors ready to fly in real jet!!",Top_Gun_Maverick_BLOCKBUSTER_FIRECRACKER,What massive action sequel featured the aviation advice It's not the plane it's the pilot?,Top Gun: Maverick,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[spooky] Let's see who knows their modern horror movie!! [short pause] What critically acclaimed thriller featured the terrifying quote, [creepy] Now... you're in the Sunken Place!! [long pause] Second time around, we're lookin' for what movie gave us the chilling line, [whispering] Now... you're in the Sunken Place!! [long pause] Last cal!! [short pause] What critically acclaimed thriller featured the terrifying quote, [creepy] Now... you're in the Sunken Place!! [long pause] Check those cards for Get Ou!! [short pause] That's Get Ou!! [informative] Jordan Peele wrote and directed the film, which ended up winning him an Oscar for Best Original Screenpla!!",Get_Out_BLOCKBUSTER_FIRECRACKER,What critically acclaimed thriller featured the terrifying quote Now you're in the Sunken Place?,Get Out,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[excited] Turn the volume up for this animated masterpiec!! [short pause] What groundbreaking superhero movie featured the inspiring line, [inspiring] Anyone... can wear the mask!! [long pause] Second time around, we're lookin' for what animated movie told us, [hopeful] Anyone... can wear the mask!! [long pause] Final time on this on!! [short pause] What groundbreaking superhero movie featured the inspiring line, [inspiring] Anyone... can wear the mask!! [long pause] The answer we're lookin' for is Spider-Man: Into the Spider-Vers!! [short pause] That's Spider-Man: Into the Spider-Vers!! [amazed] The animators used revolutionary comic-book techniques, taking nearly four years to complete the fil!!",Spider_Man_Into_The_Spider_Verse_BLOCKBUSTER_FIRECRACKER,What groundbreaking superhero movie featured the inspiring line Anyone can wear the mask?,Spider-Man: Into the Spider-Verse,0.8,0.8,0
Morning Firecracker,Name That Blockbuster,"[softly] Alright, let's slow it down for this romantic musical drama. [short pause] What award-winning movie gave us the line, [emotional] I just wanted to take another look... at you!! [long pause] Second time around, we're lookin' for what Bradley Cooper movie featured the quote, [romantic] I just wanted to take another look... at you!! [long pause] Last cal!! [short pause] What award-winning movie gave us the line, [emotional] I just wanted to take another look... at you!! [long pause] Check your cards for A Star Is Bor!! [short pause] That's A Star Is Bor!! [surprised] Lady Gaga insisted that all of the singing in the movie be performed completely live on se!!",A_Star_Is_Born_BLOCKBUSTER_FIRECRACKER,What award-winning movie gave us the line I just wanted to take another look at you?,A Star Is Born,0.8,0.8,0
Morning Firecracker,Finish the Line,"[intense] Pay attention to this next on!! [short pause] Finish this chilling threat from the action thriller Taken... [serious] I don't have money. But what I do have... are a very particular set of...!! [long pause] Second time around, finish Liam Neeson's famous line... [menacing] I do have... are a very particular set of...!! [long pause] Last cal!! [short pause] Finish the quote... [intense] a very particular set of...!! [long pause] The answer we're lookin' for is Skill!! [short pause] That's Skill!! [impressed] Liam Neeson actually thought the movie would flop and go straight to DV!!",Skills_FINISH_FIRECRACKER,Finish this chilling threat from the action thriller Taken I don't have money But what I do have are a very particular set of?,Skills,0.8,0.8,0
Morning Firecracker,Finish the Line,"[energetic] Alright, let's keep the trivia rolling! [short pause] Finish this iconic piece of comic book advice from the two-thousand-and-two movie Spider-Man... [thoughtful] With great power... comes great...?! [long pause] Second time around, finish Uncle Ben's legendary warning... [serious] With great power... comes great...?! [long pause] Final time on this one! [short pause] Finish the phrase... [thoughtful] With great power... comes great...?! [long pause] Check your cards for Responsibility! [short pause] That's Responsibility! [excited] That exact phrase actually dates all the way back to the French Revolution!",Responsibility_FINISH_FIRECRACKER,Finish this iconic piece of comic book advice from the two-thousand-and-two movie Spider-Man With great power comes great?,Responsibility,0.8,0.8,0
Morning Firecracker,Finish the Line,"[excited] Let's see who knows their villains! [short pause] Finish this famous quote from The Dark Knight... [menacing] Some men aren't looking for anything logical... some men just want to watch the world...?! [long pause] Second time around, finish the warning given to Batman... [darkly] some men just want to watch the world...?! [long pause] Final time I'm askin' it! [short pause] Finish the line... [menacing] some men just want to watch the world...?! [long pause] The answer we need is Burn! [short pause] That's Burn! [informative] That line was delivered by Michael Caine, who played Alfred the butler!",Burn_FINISH_FIRECRACKER,Finish this famous quote from The Dark Knight Some men aren't looking for anything logical some men just want to watch the world?,Burn,0.8,0.8,0
Morning Firecracker,Finish the Line,"[playful] Next up on the trivia countdown! [short pause] Finish this famous quote from The Social Network... [snobby] A million dollars isn't cool. You know what's cool? [short pause] A...?! [long pause] Second time around, finish the advice given to Mark Zuckerberg... [arrogant] You know what's cool? [short pause] A...?! [long pause] Last call! [short pause] Finish the line... [snobby] You know what's cool? [short pause] A...?! [long pause] You should be lookin' for Billion! [short pause] That's Billion! [chuckling] Justin Timberlake delivered that iconic line while playing the founder of Napster!",Billion_FINISH_FIRECRACKER,Finish this famous quote from The Social Network A million dollars isn't cool You know what's cool A?,Billion,0.8,0.8,0
Morning Firecracker,Finish the Line,"[laughing] Here is a hilarious one for everybody! [short pause] Finish this confusing quote from Tropic Thunder... [intense] I'm the dude, playing the dude, disguised as another...?! [long pause] Second time around, finish Robert Downey Junior's line... [serious] disguised as another...?! [long pause] Final time on this one! [short pause] Finish the quote... [intense] disguised as another...?! [long pause] The answer we're lookin' for is Dude! [short pause] That's Dude! [excited] His performance in that comedy actually earned him an Academy Award nomination!",Dude_FINISH_FIRECRACKER,Finish this confusing quote from Tropic Thunder I'm the dude playing the dude disguised as another?,Dude,0.8,0.8,0
Morning Firecracker,Finish the Line,"[mysterious] Pay attention to this next one! [short pause] Finish this famous sci-fi mantra from the movie Dune... [intense] I must not fear. Fear... is the mind...?! [long pause] Second time around, finish the litany against fear... [serious] Fear... is the mind...?! [long pause] Last call! [short pause] Finish the sci-fi quote... [intense] Fear... is the mind...?! [long pause] Check those cards for Killer! [short pause] That's Killer! [informative] The quote originates from Frank Herbert's massive nineteen-sixty-five novel of the same name!",Killer_FINISH_FIRECRACKER,Finish this famous sci-fi mantra from the movie Dune I must not fear Fear is the mind?,Killer,0.8,0.8,0
Morning Firecracker,Finish the Line,"[softly] Let's slow it down for this heartbreaking line! [short pause] Finish this quote from Avengers: Infinity War... [crying] Mr. Stark... I don't feel so...?! [long pause] Second time around, finish Peter Parker's famous last words... [emotional] I don't feel so...?! [long pause] Final time I'm askin' it! [short pause] Finish the quote... [crying] Mr. Stark... I don't feel so...?! [long pause] The answer we need is Good! [short pause] That's Good! [amazed] Tom Holland completely improvised that entire emotional scene on the spot!",Good_FINISH_FIRECRACKER,Finish this quote from Avengers: Infinity War Mr Stark I don't feel so?,Good,0.8,0.8,0
Morning Firecracker,Finish the Line,"[darkly] Let's switch gears to a dark realization! [short pause] Finish this quote from the two-thousand-and-nineteen movie, Joker... [thoughtful] I used to think that my life was a tragedy, but now I realize... it's a...?! [long pause] Second time around, finish Arthur Fleck's quote... [creepy] but now I realize... it's a...?! [long pause] Last call! [short pause] Finish the line... [thoughtful] but now I realize... it's a...?! [long pause] You should be lookin' for Comedy! [short pause] That's Comedy! [excited] Joaquin Phoenix lost a staggering fifty-two pounds to prepare for the role!",Comedy_FINISH_FIRECRACKER,Finish this quote from the two-thousand-and-nineteen movie Joker I used to think that my life was a tragedy but now I realize it's a?,Comedy,0.8,0.8,0
Morning Firecracker,Finish the Line,"[energetic] Keep those brains firing for this next quote! [short pause] Finish this opening lyric from A Star Is Born... [singing] Tell me something, boy. Aren't you tired tryin' to fill that...?! [long pause] Second time around, finish Bradley Cooper's famous question... [melodic] Aren't you tired tryin' to fill that...?! [long pause] Final time on this one! [short pause] Finish the line... [singing] Aren't you tired tryin' to fill that...?! [long pause] The answer we're lookin' for is Void! [short pause] That's Void! [happy] That track, titled Shallow, went on to win the Oscar for Best Original Song!",Void_FINISH_FIRECRACKER,Finish this opening lyric from A Star Is Born Tell me something boy Aren't you tired tryin' to fill that?,Void,0.8,0.8,0
Morning Firecracker,Finish the Line,"[playful] Alright, strap in for this mystery! [short pause] Finish the quote written on the famous mug in Knives Out... [sassy] My house, my rules, my...?! [long pause] Second time around, finish the phrase that belongs to Harlan Thrombey... [snobby] My house, my rules, my...?! [long pause] Last warning, folks! [short pause] Finish the line... [sassy] My house, my rules, my...?! [long pause] Check your cards for Coffee! [short pause] That's Coffee! [chuckling] That specific mug makes a brilliant reappearance in the very final shot of the film!",Coffee_FINISH_FIRECRACKER,Finish the quote written on the famous mug in Knives Out My house my rules my?,Coffee,0.8,0.8,0
Morning Firecracker,Who Said It - Character,"[creepy] Let's see who knows their fantasy character!! [short pause] What specific character famously whispered the line... [whispering] My... precious... [short pause] in The Lord of the Rings: The Two Towers!! [long pause] Second time around, we're lookin' for the name of the corrupted hobbit who said, [obsessive] My... precious!! [long pause] Last cal!! [short pause] What character said, [whispering] My... precious!! [long pause] The answer we need is Gollu!! [short pause] That's Gollu!! [amazed] Andy Serkis's motion-capture performance completely revolutionized visual effects in Hollywoo!!",Gollum_CHARACTER_FIRECRACKER,What specific character famously whispered the line My precious in The Lord of the Rings: The Two Towers?,Gollum,0.8,0.8,0
Morning Firecracker,Who Said It - Character,"[intense] Turn the volume up for this villai!! [short pause] What specific character delivered the menacing line... [darkly] Ah, you think darkness is your ally? You merely adopted the dark... [short pause] in The Dark Knight Rises!! [long pause] Second time around, we're lookin' for the masked villain who broke Batman's back and said, [menacing] You merely adopted the dark!! [long pause] Final time I'm askin' i!! [short pause] What character said, [darkly] You merely adopted the dark!! [long pause] Check those cards for Ban!! [short pause] That's Ban!! [excited] Tom Hardy based his iconic, muffled voice on a real-life bare-knuckle boxe!!",Bane_CHARACTER_FIRECRACKER,What specific character delivered the menacing line Ah you think darkness is your ally You merely adopted the dark in The Dark Knight Rises?,Bane,0.8,0.8,0
Morning Firecracker,Who Said It - Character,"[laughing] Let's switch gears to a massive Marvel hi!! [short pause] What character triumphantly yelled... [shouting] I'm Mary Poppins, y'all... [short pause] in Guardians of the Galaxy Volume Two!! [long pause] Second time around, we're lookin' for the blue-skinned ravager who shouted, [proudly] I'm Mary Poppins, y'all!! [long pause] Last cal!! [short pause] What character yelled, [shouting] I'm Mary Poppins, y'all!! [long pause] You should be lookin' for Yond!! [short pause] That's Yond!! [happy] Michael Rooker's delivery made it one of the most beloved quotes in the entire cinematic univers!!",Yondu_CHARACTER_FIRECRACKER,What character triumphantly yelled I'm Mary Poppins y'all in Guardians of the Galaxy Volume Two?,Yondu,0.8,0.8,0
Morning Firecracker,Who Said It - Character,"[serious] Keep those Marvel brains firing for this next quot!! [short pause] What specific character confidently stated... [menacing] I... am... inevitable... [short pause] in Avengers: Endgame!! [long pause] Second time around, we're lookin' for the mad titan who said, [arrogant] I... am... inevitable!! [long pause] Final time on this on!! [short pause] What character said, [menacing] I... am... inevitable!! [long pause] The answer we're lookin' for is Thano!! [short pause] That's Thano!! [informative] Josh Brolin provided both the voice and the physical motion capture for the massive villai!!",Thanos_CHARACTER_FIRECRACKER,What specific character confidently stated I am inevitable in Avengers: Endgame?,Thanos,0.8,0.8,0
Morning Firecracker,Who Said It - Character,"[mysterious] Alright, let's head to a galaxy far, far awa!! [short pause] What character gave the dark advice... [intense] Let the past die. Kill it if you have to... [short pause] in Star Wars: The Last Jedi!! [long pause] Second time around, we're lookin' for the supreme leader who said, [serious] Let the past die!! [long pause] Last warning, folk!! [short pause] What character said, [intense] Let the past die!! [long pause] Check your cards for Kylo Re!! [short pause] That's Kylo Re!! [excited] Adam Driver's intense performance cemented him as one of the best villains in modern Star War!!",Kylo_Ren_CHARACTER_FIRECRACKER,What character gave the dark advice Let the past die Kill it if you have to in Star Wars: The Last Jedi?,Kylo Ren,0.8,0.8,0
Morning Firecracker,Who Said It - Character,"[sassy] Let's test your fashion knowledg!! [short pause] What specific character delivered the withering insult... [snobby] Florals? For spring? Groundbreaking... [short pause] in The Devil Wears Prada!! [long pause] Second time around, we're lookin' for the name of the terrifying magazine editor who said, [sarcastic] Florals? For spring? Groundbreaking!! [long pause] Final time I'm askin' i!! [short pause] What character said, [snobby] Florals? For spring? Groundbreaking!! [long pause] The answer we need is Miranda Priestl!! [short pause] That's Miranda Priestl!! [informative] Meryl Streep based her iconic, soft-spoken delivery on actor Clint Eastwoo!!",Miranda_Priestly_CHARACTER_FIRECRACKER,What specific character delivered the withering insult Florals For spring Groundbreaking in The Devil Wears Prada?,Miranda Priestly,0.8,0.8,0
Morning Firecracker,Who Said It - Character,"[romantic] Let's slow it down for this holiday classic. [short pause] What character held up the cue cards that read... [sweetly] To me, you are perfect... [short pause] in Love Actually!! [long pause] Second time around, we're lookin' for the name of the best man who confessed his love by holding up signs saying, [romantic] To me, you are perfect!! [long pause] Last cal!! [short pause] What character held up the sign, [sweetly] To me, you are perfect!! [long pause] Check your cards for Mar!! [short pause] That's Mar!! [surprised] Actor Andrew Lincoln actually wrote out all of those famous cue cards himsel!!",Mark_CHARACTER_FIRECRACKER,What character held up the cue cards that read To me you are perfect in Love Actually?,Mark,0.8,0.8,0
Morning Firecracker,Who Said It - Character,"[spooky] Let's see who knows their intense thriller!! [short pause] What character famously asked the terrifying question... [darkly] What's the most you ever lost on a coin toss? [short pause] in No Country for Old Men!! [long pause] Second time around, we're lookin' for the relentless hitman who asked, [menacing] What's the most you ever lost on a coin toss!! [long pause] Final time on this on!! [short pause] What character asked, [darkly] What's the most you ever lost on a coin toss!! [long pause] The answer we're lookin' for is Anton Chigur!! [short pause] That's Anton Chigur!! [amazed] Javier Bardem won an Academy Award for his absolutely chilling performanc!!",Anton_Chigurh_CHARACTER_FIRECRACKER,What character famously asked the terrifying question What's the most you ever lost on a coin toss in No Country for Old Men?,Anton Chigurh,0.8,0.8,0
Morning Firecracker,Who Said It - Character,"[energetic] Alright, strap in for this intense rid!! [short pause] What character screamed the battle cry... [shouting] Witness m!! [short pause] in Mad Max: Fury Road!! [long pause] Second time around, we're lookin' for the frantic War Boy who yelled, [loudly] Witness me!! [long pause] Last warning, folk!! [short pause] What character yelled, [shouting] Witness me!! [long pause] Check those cards for Nu!! [short pause] That's Nu!! [excited] Nicholas Hoult spent over two hours in the makeup chair every single day for that rol!!",Nux_CHARACTER_FIRECRACKER,What character screamed the battle cry Witness me in Mad Max: Fury Road?,Nux,0.8,0.8,0
Morning Firecracker,Who Said It - Character,"[playful] Pay attention to this next on!! [short pause] What specific character delivered the cold-blooded line... [coolly] The D is silent, hillbilly... [short pause] in Django Unchained!! [long pause] Second time around, we're lookin' for the bounty hunter who said, [arrogant] The D is silent, hillbilly!! [long pause] Final time I'm askin' i!! [short pause] What character said, [coolly] The D is silent, hillbilly!! [long pause] The answer we need is Djang!! [short pause] That's Djang!! [chuckling] Jamie Foxx delivered the line directly to actor Franco Nero, who originally played the character back in nineteen-sixty-si!!",Django_CHARACTER_FIRECRACKER,What specific character delivered the cold-blooded line The D is silent hillbilly in Django Unchained?,Django,0.8,0.8,0
Morning Firecracker,Who Said It - Actor,"[intense] Let's see who knows their Hollywood star!! [short pause] What actor delivered the ferocious line... [shouting] I drink your milkshak!! I drink it u!! [short pause] in There Will Be Blood!! [long pause] Second time around, we're lookin' for the legendary actor who yelled, [loudly] I drink your milkshake!! [long pause] Last cal!! [short pause] What actor said, [shouting] I drink your milkshake!! [long pause] You should be lookin' for Daniel Day-Lewi!! [short pause] That's Daniel Day-Lewi!! [impressed] He is widely considered one of the greatest actors in cinematic histor!!",Daniel_Day_Lewis_ACTOR_FIRECRACKER,What actor delivered the ferocious line I drink your milkshake I drink it up in There Will Be Blood?,Daniel Day-Lewis,0.8,0.8,0
Morning Firecracker,Who Said It - Actor,"[serious] Keep those brains firing for this next quot!! [short pause] What actor delivered the chilling line... [intense] Look at me. I'm the captain now... [short pause] in Captain Phillips!! [long pause] Second time around, we're lookin' for the actor who hijacked the ship and said, [menacing] I'm the captain now!! [long pause] Final time on this on!! [short pause] What actor said, [intense] I'm the captain now!! [long pause] The answer we're lookin' for is Barkhad Abd!! [short pause] That's Barkhad Abd!! [amazed] That was actually his very first time ever acting in a movie, and he improvised the line on the spo!!",Barkhad_Abdi_ACTOR_FIRECRACKER,What actor delivered the chilling line Look at me I'm the captain now in Captain Phillips?,Barkhad Abdi,0.8,0.8,0
